Field,File,Line,Method,Receiver,Operation,Context,Evidence
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","671","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X + target.Width, target.Y + target.Height);"
"DisplayId","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","676","ApplyDockCanonicalFromPhysical","metrics","READ","Pet canonical / UI projection (inspect receiver)","metrics.DisplayId, metrics.PhysicalLeft,"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","678","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X, target.Y, target.Width, target.Height);"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","678","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X, target.Y, target.Width, target.Height);"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","678","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X, target.Y, target.Width, target.Height);"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","678","ApplyDockCanonicalFromPhysical","target","READ","Pet canonical / UI projection (inspect receiver)","target.X, target.Y, target.Width, target.Height);"
"DisplayId","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","679","ApplyDockCanonicalFromPhysical","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.DisplayId = placement.DisplayId;"
"DisplayId","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","679","ApplyDockCanonicalFromPhysical","placement","READ","Pet canonical / UI projection (inspect receiver)","note.DisplayId = placement.DisplayId;"
"LocalLogicalX","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","680","ApplyDockCanonicalFromPhysical","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalX = placement.LocalX;"
"LocalLogicalY","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","681","ApplyDockCanonicalFromPhysical","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalY = placement.LocalY;"
"LocalLogicalWidth","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","682","ApplyDockCanonicalFromPhysical","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalWidth = placement.LocalWidth;"
"LocalLogicalHeight","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","683","ApplyDockCanonicalFromPhysical","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.LocalLogicalHeight = placement.LocalHeight;"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","941","ApplyDockTarget","target","READ","Pet canonical / UI projection (inspect receiver)","target.NoteId, new StickyUiBounds(target.X, target.Y,"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","941","ApplyDockTarget","target","READ","Pet canonical / UI projection (inspect receiver)","target.NoteId, new StickyUiBounds(target.X, target.Y,"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","942","ApplyDockTarget","target","READ","Pet canonical / UI projection (inspect receiver)","target.Width, target.Height)),"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","942","ApplyDockTarget","target","READ","Pet canonical / UI projection (inspect receiver)","target.Width, target.Height)),"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1009","CanSafelyCombineDockComponents","note","READ","Pet canonical / UI projection (inspect receiver)","? facts.Height : note.Height);"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1019","CanSafelyCombineDockComponents","note","READ","Pet canonical / UI projection (inspect receiver)","? facts.Height : note.Height);"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1125","ResizeHostedStickyDockDivider","source","WRITE","Pet canonical / UI projection (inspect receiver)","source.Height = sourceHeight;"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1131","ResizeHostedStickyDockDivider","note","READ","Pet canonical / UI projection (inspect receiver)","if (note.X != target.X || note.Y != target.Y ||"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1131","ResizeHostedStickyDockDivider","target","READ","Pet canonical / UI projection (inspect receiver)","if (note.X != target.X || note.Y != target.Y ||"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1131","ResizeHostedStickyDockDivider","note","READ","Pet canonical / UI projection (inspect receiver)","if (note.X != target.X || note.Y != target.Y ||"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1131","ResizeHostedStickyDockDivider","target","READ","Pet canonical / UI projection (inspect receiver)","if (note.X != target.X || note.Y != target.Y ||"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1132","ResizeHostedStickyDockDivider","note","READ","Pet canonical / UI projection (inspect receiver)","note.Width != target.Width || note.Height != target.Height ||"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1132","ResizeHostedStickyDockDivider","target","READ","Pet canonical / UI projection (inspect receiver)","note.Width != target.Width || note.Height != target.Height ||"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1132","ResizeHostedStickyDockDivider","note","READ","Pet canonical / UI projection (inspect receiver)","note.Width != target.Width || note.Height != target.Height ||"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1132","ResizeHostedStickyDockDivider","target","READ","Pet canonical / UI projection (inspect receiver)","note.Width != target.Width || note.Height != target.Height ||"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1166","CalculateDockDividerTargets","upper","READ","Pet canonical / UI projection (inspect receiver)","int upperHeight = CalculateDockDividerHeight(upper.Height);"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1167","CalculateDockDividerTargets","upper","READ","Pet canonical / UI projection (inspect receiver)","targets.Add(new DockLayoutTarget(upper.NoteId, upper.X, upper.Y,"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1167","CalculateDockDividerTargets","upper","READ","Pet canonical / UI projection (inspect receiver)","targets.Add(new DockLayoutTarget(upper.NoteId, upper.X, upper.Y,"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1168","CalculateDockDividerTargets","upper","READ","Pet canonical / UI projection (inspect receiver)","upper.Width, upperHeight, upper.Visible, upper.TopMost));"
"X","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1169","CalculateDockDividerTargets","lower","READ","Pet canonical / UI projection (inspect receiver)","targets.Add(new DockLayoutTarget(lower.NoteId, lower.X,"
"Y","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1170","CalculateDockDividerTargets","upper","READ","Pet canonical / UI projection (inspect receiver)","upper.Y + upperHeight, lower.Width, lower.Height,"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1170","CalculateDockDividerTargets","lower","READ","Pet canonical / UI projection (inspect receiver)","upper.Y + upperHeight, lower.Width, lower.Height,"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1170","CalculateDockDividerTargets","lower","READ","Pet canonical / UI projection (inspect receiver)","upper.Y + upperHeight, lower.Width, lower.Height,"
"Width","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1551","CanDockBelow","target","READ","Pet canonical / UI projection (inspect receiver)","target.Width, target.Height, threshold);"
"Height","desktop-pet/Features/StickyNotes/PetStickyDockCoordinator.cs","1551","CanDockBelow","target","READ","Pet canonical / UI projection (inspect receiver)","target.Width, target.Height, threshold);"
"DisplayId","desktop-pet/StickyWindowSession.cs","86","TryShowAtPhysicalBounds","data","READ","Sticky STA working copy / window effect","!String.IsNullOrWhiteSpace(data.DisplayId) &&"
"LocalLogicalWidth","desktop-pet/StickyWindowSession.cs","87","TryShowAtPhysicalBounds","data","READ","Sticky STA working copy / window effect","data.LocalLogicalWidth > 0 && data.LocalLogicalHeight > 0;"
"LocalLogicalHeight","desktop-pet/StickyWindowSession.cs","87","TryShowAtPhysicalBounds","data","READ","Sticky STA working copy / window effect","data.LocalLogicalWidth > 0 && data.LocalLogicalHeight > 0;"
"PreferredDisplayTargetKey","desktop-pet/StickyWindowSession.cs","89","TryShowAtPhysicalBounds","data","READ","Sticky STA working copy / window effect","!String.IsNullOrWhiteSpace(data.PreferredDisplayTargetKey) &&"
"PreferredLocalLogicalWidth","desktop-pet/StickyWindowSession.cs","90","TryShowAtPhysicalBounds","data","READ","Sticky STA working copy / window effect","data.PreferredLocalLogicalWidth > 0 &&"
"PreferredLocalLogicalHeight","desktop-pet/StickyWindowSession.cs","91","TryShowAtPhysicalBounds","data","READ","Sticky STA working copy / window effect","data.PreferredLocalLogicalHeight > 0;"
"PreferredDisplayTargetKey","desktop-pet/StickyWindowSession.cs","185","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","!String.IsNullOrWhiteSpace(data.PreferredDisplayTargetKey) &&"
"PreferredLocalLogicalWidth","desktop-pet/StickyWindowSession.cs","186","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","data.PreferredLocalLogicalWidth > 0 &&"
"PreferredLocalLogicalHeight","desktop-pet/StickyWindowSession.cs","187","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","data.PreferredLocalLogicalHeight > 0)"
"PreferredDisplayTargetKey","desktop-pet/StickyWindowSession.cs","190","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","data.PreferredDisplayTargetKey);"
"PreferredLocalLogicalX","desktop-pet/StickyWindowSession.cs","193","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","preferred.X = data.PreferredLocalLogicalX;"
"PreferredLocalLogicalY","desktop-pet/StickyWindowSession.cs","194","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","preferred.Y = data.PreferredLocalLogicalY;"
"PreferredLocalLogicalWidth","desktop-pet/StickyWindowSession.cs","195","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","preferred.Width = data.PreferredLocalLogicalWidth;"
"PreferredLocalLogicalHeight","desktop-pet/StickyWindowSession.cs","196","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","preferred.Height = data.PreferredLocalLogicalHeight;"
"DisplayId","desktop-pet/StickyWindowSession.cs","202","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","data.DisplayId ?? String.Empty);"
"LocalLogicalX","desktop-pet/StickyWindowSession.cs","205","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","preferred.X = data.LocalLogicalX;"
"LocalLogicalY","desktop-pet/StickyWindowSession.cs","206","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","preferred.Y = data.LocalLogicalY;"
"LocalLogicalWidth","desktop-pet/StickyWindowSession.cs","207","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","preferred.Width = data.LocalLogicalWidth;"
"LocalLogicalHeight","desktop-pet/StickyWindowSession.cs","208","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","preferred.Height = data.LocalLogicalHeight;"
"Width","desktop-pet/StickyWindowSession.cs","217","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","if (data.Width > 0 && data.Height > 0)"
"Height","desktop-pet/StickyWindowSession.cs","217","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","if (data.Width > 0 && data.Height > 0)"
"X","desktop-pet/StickyWindowSession.cs","221","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","data.X, data.Y, data.Width, data.Height);"
"Y","desktop-pet/StickyWindowSession.cs","221","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","data.X, data.Y, data.Width, data.Height);"
"Width","desktop-pet/StickyWindowSession.cs","221","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","data.X, data.Y, data.Width, data.Height);"
"Height","desktop-pet/StickyWindowSession.cs","221","ResolvePlacementPlan","data","READ","Sticky STA working copy / window effect","data.X, data.Y, data.Width, data.Height);"
"Height","desktop-pet/StickyWindowSession.cs","950","EmitDockDividerResize","snapshot","READ","Sticky STA working copy / window effect","e == null ? snapshot.Height : e.Height));"
"X","desktop-pet/StickyWindowSession.cs","1058","TraceWindowFacts","snapshot","READ","Sticky STA working copy / window effect","snapshot.LocalLogicalWidth > 0 && snapshot.X != 0"
"LocalLogicalWidth","desktop-pet/StickyWindowSession.cs","1058","TraceWindowFacts","snapshot","READ","Sticky STA working copy / window effect","snapshot.LocalLogicalWidth > 0 && snapshot.X != 0"
"X","desktop-pet/StickyWindowSession.cs","1059","TraceWindowFacts","snapshot","READ","Sticky STA working copy / window effect","? ((double)snapshot.X /"
"LocalLogicalWidth","desktop-pet/StickyWindowSession.cs","1060","TraceWindowFacts","snapshot","READ","Sticky STA working copy / window effect","snapshot.LocalLogicalWidth).ToString(""0.###"")"
"X","desktop-pet/StickyWindowSession.cs","1071","TraceWindowFacts","snapshot","READ","Sticky STA working copy / window effect","snapshot.X + "","" + snapshot.Y + "","" +"
"Y","desktop-pet/StickyWindowSession.cs","1071","TraceWindowFacts","snapshot","READ","Sticky STA working copy / window effect","snapshot.X + "","" + snapshot.Y + "","" +"
"Width","desktop-pet/StickyWindowSession.cs","1072","TraceWindowFacts","snapshot","READ","Sticky STA working copy / window effect","snapshot.Width + "","" + snapshot.Height) + "")"" +"
"Height","desktop-pet/StickyWindowSession.cs","1072","TraceWindowFacts","snapshot","READ","Sticky STA working copy / window effect","snapshot.Width + "","" + snapshot.Height) + "")"" +"
"DisplayId","desktop-pet/StickyWindowSession.cs","1074","TraceWindowFacts","snapshot","READ","Sticky STA working copy / window effect","(snapshot == null ? ""-"" : snapshot.DisplayId ?? ""-"") +"
"DisplayId","desktop-pet/StickyWindowSession.cs","1105","CaptureCanonicalPlacement","metrics","READ","Sticky STA working copy / window effect","metrics.DisplayId, metrics.PhysicalLeft,"
"X","desktop-pet/StickyWindowSession.cs","1123","CaptureCanonicalPlacement","_window.Data","WRITE","Sticky STA working copy / window effect","_window.Data.X = _window.Left;"
"Y","desktop-pet/StickyWindowSession.cs","1124","CaptureCanonicalPlacement","_window.Data","WRITE","Sticky STA working copy / window effect","_window.Data.Y = _window.Top;"
"Width","desktop-pet/StickyWindowSession.cs","1125","CaptureCanonicalPlacement","_window.Data","WRITE","Sticky STA working copy / window effect","_window.Data.Width = _window.Width;"
"Height","desktop-pet/StickyWindowSession.cs","1126","CaptureCanonicalPlacement","_window.Data","WRITE","Sticky STA working copy / window effect","_window.Data.Height = _window.Height;"
"DisplayId","desktop-pet/StickyWindowSession.cs","1132","IsCanonicalValid","note","READ","Sticky STA working copy / window effect","!String.IsNullOrWhiteSpace(note.DisplayId) &&"
"LocalLogicalWidth","desktop-pet/StickyWindowSession.cs","1133","IsCanonicalValid","note","READ","Sticky STA working copy / window effect","note.LocalLogicalWidth > 0 && note.LocalLogicalHeight > 0;"
"LocalLogicalHeight","desktop-pet/StickyWindowSession.cs","1133","IsCanonicalValid","note","READ","Sticky STA working copy / window effect","note.LocalLogicalWidth > 0 && note.LocalLogicalHeight > 0;"
"X","desktop-pet/Features/StickyNotes/StickyNoteRepository.cs","452","CreateDraft","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.X = location.X;"
"Y","desktop-pet/Features/StickyNotes/StickyNoteRepository.cs","453","CreateDraft","note","WRITE","Pet canonical / UI projection (inspect receiver)","note.Y = location.Y;"
"X","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","323","StickyNoteUiSnapshot","source","READ","detached carrier conversion","X = source.X;"
"Y","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","324","StickyNoteUiSnapshot","source","READ","detached carrier conversion","Y = source.Y;"
"Width","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","325","StickyNoteUiSnapshot","source","READ","detached carrier conversion","Width = source.Width;"
"Height","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","326","StickyNoteUiSnapshot","source","READ","detached carrier conversion","Height = source.Height;"
"DisplayId","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","327","StickyNoteUiSnapshot","source","READ","detached carrier conversion","DisplayId = source.DisplayId ?? String.Empty;"
"LocalLogicalX","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","328","StickyNoteUiSnapshot","source","READ","detached carrier conversion","LocalLogicalX = source.LocalLogicalX;"
"LocalLogicalY","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","329","StickyNoteUiSnapshot","source","READ","detached carrier conversion","LocalLogicalY = source.LocalLogicalY;"
"LocalLogicalWidth","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","330","StickyNoteUiSnapshot","source","READ","detached carrier conversion","LocalLogicalWidth = source.LocalLogicalWidth;"
"LocalLogicalHeight","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","331","StickyNoteUiSnapshot","source","READ","detached carrier conversion","LocalLogicalHeight = source.LocalLogicalHeight;"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","333","StickyNoteUiSnapshot","source","READ","detached carrier conversion","source.PreferredDisplayTargetKey ?? String.Empty;"
"PreferredLocalLogicalX","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","334","StickyNoteUiSnapshot","source","READ","detached carrier conversion","PreferredLocalLogicalX = source.PreferredLocalLogicalX;"
"PreferredLocalLogicalY","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","335","StickyNoteUiSnapshot","source","READ","detached carrier conversion","PreferredLocalLogicalY = source.PreferredLocalLogicalY;"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","336","StickyNoteUiSnapshot","source","READ","detached carrier conversion","PreferredLocalLogicalWidth = source.PreferredLocalLogicalWidth;"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","338","StickyNoteUiSnapshot","source","READ","detached carrier conversion","source.PreferredLocalLogicalHeight;"
"X","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","418","ApplyTo","target","WRITE","detached carrier conversion","target.X = X;"
"Y","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","419","ApplyTo","target","WRITE","detached carrier conversion","target.Y = Y;"
"Width","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","420","ApplyTo","target","WRITE","detached carrier conversion","target.Width = Width;"
"Height","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","421","ApplyTo","target","WRITE","detached carrier conversion","target.Height = Height;"
"DisplayId","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","422","ApplyTo","target","WRITE","detached carrier conversion","target.DisplayId = DisplayId ?? String.Empty;"
"LocalLogicalX","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","423","ApplyTo","target","WRITE","detached carrier conversion","target.LocalLogicalX = LocalLogicalX;"
"LocalLogicalY","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","424","ApplyTo","target","WRITE","detached carrier conversion","target.LocalLogicalY = LocalLogicalY;"
"LocalLogicalWidth","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","425","ApplyTo","target","WRITE","detached carrier conversion","target.LocalLogicalWidth = LocalLogicalWidth;"
"LocalLogicalHeight","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","426","ApplyTo","target","WRITE","detached carrier conversion","target.LocalLogicalHeight = LocalLogicalHeight;"
"PreferredDisplayTargetKey","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","436","ApplyPreferredTo","target","WRITE","detached carrier conversion","target.PreferredDisplayTargetKey ="
"PreferredLocalLogicalX","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","438","ApplyPreferredTo","target","WRITE","detached carrier conversion","target.PreferredLocalLogicalX = PreferredLocalLogicalX;"
"PreferredLocalLogicalY","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","439","ApplyPreferredTo","target","WRITE","detached carrier conversion","target.PreferredLocalLogicalY = PreferredLocalLogicalY;"
"PreferredLocalLogicalWidth","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","440","ApplyPreferredTo","target","WRITE","detached carrier conversion","target.PreferredLocalLogicalWidth = PreferredLocalLogicalWidth;"
"PreferredLocalLogicalHeight","desktop-pet/Features/StickyNotes/StickyUiCommand.cs","441","ApplyPreferredTo","target","WRITE","detached carrier conversion","target.PreferredLocalLogicalHeight = PreferredLocalLogicalHeight;"
"Width","desktop-pet/PetForm.cs","767","PositionOwnedWindowLikeReminder","child","READ","other detached geometry; not automatically StickyNoteData","int x = Left + Width / 2 - child.Width / 2;"
"Height","desktop-pet/PetForm.cs","768","PositionOwnedWindowLikeReminder","child","READ","other detached geometry; not automatically StickyNoteData","int y = Top + Height / 2 - child.Height / 2;"
"Width","desktop-pet/PetForm.cs","770","PositionOwnedWindowLikeReminder","child","READ","other detached geometry; not automatically StickyNoteData","Math.Max(work.Left, Math.Min(x, work.Right - child.Width)),"
"Height","desktop-pet/PetForm.cs","771","PositionOwnedWindowLikeReminder","child","READ","other detached geometry; not automatically StickyNoteData","Math.Max(work.Top, Math.Min(y, work.Bottom - child.Height)));"
"Width","desktop-pet/PetAnimationRuntime.cs","529","EnsureRenderedRow","source","READ","other detached geometry; not automatically StickyNoteData","if (source.Width == _renderedTargetSize.Width &&"
"Height","desktop-pet/PetAnimationRuntime.cs","530","EnsureRenderedRow","source","READ","other detached geometry; not automatically StickyNoteData","source.Height == _renderedTargetSize.Height)"
"X","desktop-pet/PetDisplayRuntime.cs","212","TryPlacePetDefault","target","READ","other detached geometry; not automatically StickyNoteData","if (!TrySetPetTopLeft(target.X, target.Y))"
"Y","desktop-pet/PetDisplayRuntime.cs","212","TryPlacePetDefault","target","READ","other detached geometry; not automatically StickyNoteData","if (!TrySetPetTopLeft(target.X, target.Y))"
"X","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","223","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.X = X;"
"Y","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","224","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.Y = Y;"
"Width","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","225","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.Width = Width;"
"Height","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","226","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.Height = Height;"
"DisplayId","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","227","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.DisplayId = DisplayId;"
"LocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","228","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.LocalLogicalX = LocalLogicalX;"
"LocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","229","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.LocalLogicalY = LocalLogicalY;"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","230","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.LocalLogicalWidth = LocalLogicalWidth;"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","231","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.LocalLogicalHeight = LocalLogicalHeight;"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","232","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.PreferredDisplayTargetKey = PreferredDisplayTargetKey;"
"PreferredLocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","233","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.PreferredLocalLogicalX = PreferredLocalLogicalX;"
"PreferredLocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","234","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.PreferredLocalLogicalY = PreferredLocalLogicalY;"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","235","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.PreferredLocalLogicalWidth = PreferredLocalLogicalWidth;"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteModels.cs","236","CloneForPersistence","copy","WRITE","model / pure transform (receiver type requires method context)","copy.PreferredLocalLogicalHeight = PreferredLocalLogicalHeight;"
"X","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","34","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.X.ToString(CultureInfo.InvariantCulture),"
"Y","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","35","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.Y.ToString(CultureInfo.InvariantCulture),"
"Width","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","36","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.Width.ToString(CultureInfo.InvariantCulture),"
"Height","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","37","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.Height.ToString(CultureInfo.InvariantCulture),"
"DisplayId","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","58","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","Encode(note.DisplayId ?? String.Empty),"
"LocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","59","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.LocalLogicalX.ToString(CultureInfo.InvariantCulture),"
"LocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","60","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.LocalLogicalY.ToString(CultureInfo.InvariantCulture),"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","61","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.LocalLogicalWidth.ToString(CultureInfo.InvariantCulture),"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","62","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.LocalLogicalHeight.ToString(CultureInfo.InvariantCulture),"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","63","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","Encode(note.PreferredDisplayTargetKey ?? String.Empty),"
"PreferredLocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","64","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalX.ToString("
"PreferredLocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","66","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalY.ToString("
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","68","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalWidth.ToString("
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","70","SerializeLine","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalHeight.ToString("
"X","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","102","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","if (Int32.TryParse(fields[5], out number)) note.X = number;"
"Y","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","103","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","if (Int32.TryParse(fields[6], out number)) note.Y = number;"
"Width","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","105","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.Width = Clamp(number,"
